$GPRMC,125515,A,5956.124,N,03018.572,E,022.4,084.4,170926,,*27
$GPRMC,125516,A,5956.125,N,03018.575,E,022.5,084.6,170926,,*23
$GPRMC,125517,A,5956.126,N,03018.579,E,022.7,084.9,170926,,*2B
$GPRMC,125518,A,5956.127,N,03018.582,E,022.8,085.1,170926,,*22
$GPRMC,125519,A,5956.128,N,03018.586,E,023.0,085.3,170926,,*29
$GPRMC,125520,A,5956.129,N,03018.589,E,023.1,085.5,170926,,*22
$GPRMC,125521,A,5956.130,N,03018.593,E,023.3,085.8,170926,,*29
$GPRMC,125522,A,5956.131,N,03018.596,E,023.4,086.0,170926,,*21
$GPRMC,125523,A,5956.132,N,03018.600,E,023.6,086.2,170926,,*22
$GPRMC,125524,A,5956.133,N,03018.603,E,023.7,086.5,170926,,*20
$GPRMC,125525,A,5956.134,N,03018.607,E,023.9,086.7,170926,,*2F
$GPRMC,125526,A,5956.135,N,03018.610,E,024.0,087.0,170926,,*2E
$GPRMC,125527,A,5956.136,N,03018.614,E,024.2,087.2,170926,,*27
$GPRMC,125528,A,5956.137,N,03018.617,E,024.3,087.4,170926,,*2F
$GPRMC,125529,A,5956.138,N,03018.621,E,024.5,087.7,170926,,*2D
$GPRMC,125530,A,5956.139,N,03018.624,E,024.6,087.9,170926,,*24
$GPRMC,125531,A,5956.140,N,03018.628,E,024.8,088.1,170926,,*2F
$GPRMC,125532,A,5956.141,N,03018.631,E,024.9,088.4,170926,,*2D
$GPRMC,125533,A,5956.142,N,03018.635,E,025.1,088.6,170926,,*29
$GPRMC,125534,A,5956.143,N,03018.638,E,025.2,088.9,170926,,*22
$GPRMC,125535,A,5956.144,N,03018.642,E,025.4,089.1,170926,,*2F
$GPRMC,125536,A,5956.145,N,03018.645,E,025.5,089.3,170926,,*2A
$GPRMC,125537,A,5956.146,N,03018.649,E,025.7,089.6,170926,,*2F
$GPRMC,125538,A,5956.147,N,03018.652,E,025.8,089.8,170926,,*20
$GPRMC,125539,A,5956.148,N,03018.656,E,026.0,090.0,170926,,*23
$GPRMC,125539,A,
